Plate,Well,Id_code,Heterotrophic Bacterioplankton/μL,Synechoococcus/μL,Autotrophic PicoEukaryotes/μL,Notes,Total sample RU after blank subtraction,M:C,BIX,HIX,FI,Ultra Violet Humic-like,Marine Humic-like,Visible Humic-like,Tryptophan-like,Tyrosine-like,Phenylalanine-like,Fulvic Acid-like,PARAFAC1,PARAFAC2,PARAFAC3,PARAFAC4,PARAFAC5,PARAFAC6
Plate1,A1,N2_Ocean_1_BC,1353.55,13.4,3.01,NA,114.8816473,1.156209098,0.988504384,0.535177806,1.58385929,0.033583959,0.038270116,0.03309965,0.157656334,0.180126446,0.046388004,0.014562853,0.144230059,0.041764233,0.053243361,0.032444252,0.071819743,0.014359021
Plate1,A2,N1_Ocean_1_BC,1479.06,17.21,2.72,NA,74.70080607,1.251553855,0.920195736,1.175064005,1.535126759,0.030599992,0.035817062,0.028618075,0.078580445,0.061744933,0.026584967,0.013120329,0.051507621,0.036111436,0.042700368,0.031366273,0.063042603,0.013047289
Plate1,A3,N2_Ocean_4_BC,1189.81,8.43,2.26,NA,120.0971315,1.22942234,0.854959835,0.540335308,1.532815279,0.040354643,0.046141715,0.037531216,0.154552378,0.268889002,0.051441368,0.018383557,0.190112726,0.052629381,0.018582039,0.038011744,0.088576167,0.017697182
Plate1,A4,N1_Ocean_5_BC,1073.01,16.24,2.7,NA,79.43326629,1.295405331,0.855760041,1.427688187,1.541075185,0.040011762,0.046203254,0.035667025,0.062677216,0.063026392,0.036501663,0.017009147,0.051521026,0.046729972,0.021330479,0.03578182,0.070851838,0.015724165
Plate1,A5,N_1_1_BC,1305.04,10.48,2,NA,115.745871,1.169440839,0.935173721,0.773582031,1.619540449,0.047475299,0.054811973,0.046870241,0.152183644,0.159603933,0.052378855,0.019622348,0.128310228,0.057502933,0.059553846,0.045116395,0.095361846,0.020624611
Plate1,A6,N_17_1_BC,764.06,5.56,0.26,NA,424.9048232,0.99551539,1.176572943,1.022639589,1.854188001,0.17908756,0.247607341,0.248722766,0.739866085,0.393455403,0.133181138,0.069657929,0.413145536,0.282469193,0.375320108,0.196575414,0.338712096,0.052767331
Plate1,A7,N_1_4_BC,1418.03,8.02,1.56,NA,155.0787459,1.055227973,0.974379104,0.853159514,1.30002924,0.055508566,0.064585956,0.06120569,0.206788904,0.205821176,0.045373815,0.031079643,0.151907226,0.068529591,0.085166674,0.05561866,0.052626149,0.032798004
Plate1,A8,N_2_1_BC,1278.62,10.26,2.08,NA,116.1249539,1.27022176,1.06250014,0.845678055,1.647892346,0.054102201,0.067541043,0.053172639,0.14760631,0.092275031,0.044102134,0.019450721,0.105314006,0.068507498,0.071350004,0.044275493,0.103440391,0.01902352
Plate1,A9,N_18_1_BC,2802.22,7.04,0.35,NA,257.7286523,1.252116248,1.364832035,0.482471791,1.277271397,0.06604858,0.089914698,0.071810184,0.557780552,0.307065212,0.092422179,0.040545312,0.287247158,0.081270899,0.334282757,0.086741632,0.134337336,0.03934127
Plate1,A10,N_1_1_BC_d,1495.95,11.27,1.98,duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plate1,A11,N_2_4_BC,1834.2,7.85,1.3,NA,121.3664664,1.210680369,0.990330919,0.778082922,1.56965386,0.052220108,0.063446747,0.052405861,0.136702064,0.240320883,0.079424377,0.02283569,0.159582882,0.069074595,0.019908965,0.04508872,0.108210594,0.022787605
Plate1,A12,N_18_5_BC,1314.42,5.44,0.32,NA,161.6740058,1.271318625,1.044898577,0.810235276,1.687858934,0.067302571,0.088246761,0.069413567,0.220726309,0.177005397,0.078291464,0.025818388,0.153633035,0.088535112,0.09925644,0.054499575,0.123504301,0.024511586
Plate1,B1,N_3_1_BC,1257.8,10.77,2.02,NA,118.8302876,1.37053109,1.189159486,1.035795458,1.237894161,0.047053071,0.061432137,0.0448236,0.148899417,0.084068876,0.046880966,0.021815341,0.077257972,0.059693203,0.086378485,0.040342356,0.087243073,0.02418622
Plate1,B2,N_16_1_BC,754.78,3.03,0.07,NA,326.4317884,1.608988403,0.826772097,0.556849408,1.420536404,0.117252653,0.147943335,0.091948043,0.74426411,0.354797467,0.107359975,0.054929174,0.378762084,0.1192906,0.404740944,0.116560652,0.169228254,0.052253114
Plate1,B3,N_19_1_BC,449.41,3.6,0.09,NA,127.4868424,1.207466189,1.013206973,0.965493173,1.605022793,0.048152164,0.060382912,0.050007952,0.166560413,0.100258036,0.037967089,0.020915545,0.097309492,0.060364963,0.088374466,0.045604975,0.092101707,0.020582229
Plate1,B4,N_32_1_BC,1078.93,2.77,0.03,NA,89.32255637,1.105165005,0.83921518,0.533805744,1.590507616,0.035339559,0.039884163,0.036088876,0.10918851,0.212117444,0.038344781,0.015894798,0.152650621,0.04748647,0.008438042,0.038476305,0.07496732,0.01432043
Plate1,B5,N_15_1_BC_d,1268.1,7.26,0.6,duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plate1,B6,N_3_4_BC,1434.21,8.94,1.81,NA,83.78491824,1.180386609,0.927313048,1.809411186,1.583149214,0.042994564,0.050065115,0.042414167,0.065187262,0.046571699,0.017870898,0.019740541,0.038562291,0.051231962,0.036816146,0.045371047,0.08587336,0.019516578
Plate1,B7,N_16_4_BC,826.2,2.08,0.32,NA,368.9399765,1.177273782,1.399947644,0.754951111,1.553157628,0.116986022,0.174467338,0.148196062,0.724824059,0.426446933,0.124635615,0.066508553,0.407645793,0.168065131,0.386506363,0.159170923,0.23778043,0.055907086
Plate1,B8,N_19_5_BC,1133.02,4.98,0.36,NA,463.6040106,1.582288716,1.039517265,0.349217521,1.470598366,0.092046699,0.121085822,0.076525744,0.901765187,0.41108982,0.156085997,0.043827642,0.324098263,0.097177582,0.663903831,0.076794585,0.220934203,0.045700585
Plate1,B9,N_32_5_BC,1030.54,3.82,0.15,NA,330.016614,1.333836601,0.698469725,0.516588709,1.48402342,0.109705905,0.117989912,0.088459045,0.577896651,0.385328327,0.115573102,0.03743062,0.419946371,0.112233622,0.217632807,0.076136345,0.158000269,0.044945535
Plate1,B10,N_4_1_BC,1125.68,8.01,1.75,NA,173.6951868,1.167873983,1.017723649,0.45053812,1.07262635,0.057709695,0.071589582,0.061299064,0.26918432,0.318904323,0.069704559,0.0293066,0.251116956,0.074390665,0.083432791,0.042832878,0.116127484,0.035902671
Plate1,B11,N_15_1_BC,1132.97,7.77,0.73,NA,235.4855022,1.39178943,1.174726168,0.351857985,1.661504868,0.059163541,0.07672212,0.055124805,0.496959543,0.457178762,0.126350824,0.022057938,0.428286702,0.076962883,0.15603856,0.041682624,0.134357334,0.02074903
Plate1,B12,N_20_1_BC,1515.75,16.02,1.76,NA,91.82774362,1.095765238,0.92558907,0.863811112,1.648284085,0.039553308,0.045654126,0.041664149,0.081752828,0.140866243,0.041208361,0.022112546,0.113195469,0.04995553,0.013931969,0.055557234,0.106328987,0.017785656
Plate1,C1,N_31_1_BC,942.83,5.21,0.1,NA,292.8331971,1.074366691,1.056838681,0.441582477,1.310445591,0.061635483,0.078053089,0.072650325,0.753453236,0.440175925,0.108607197,0.034649664,0.496065865,0.076229662,0.318271361,0.081517939,0.131378432,0.03228382
Plate1,C2,N_4_4_BC_d,984.12,6.68,0.9,duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plate1,C3,N_4_4_BC,1179.47,7.58,1.06,NA,106.0087125,1.087675114,0.846812951,1.085011019,1.55365211,0.049187053,0.056660405,0.052093133,0.122228932,0.10423664,0.029825572,0.02124225,0.080995713,0.061282166,0.063488978,0.051672295,0.102089448,0.022068398
Plate1,C4,N_15_4_BC,1006.57,5,0.44,NA,147.7660324,1.130710478,0.826414555,1.360804138,1.492693648,0.073409218,0.08161765,0.072182625,0.192765785,0.122608389,0.02235292,0.031396204,0.122910226,0.082318291,0.085205988,0.079690126,0.113820528,0.031480733
Plate1,C5,N_20_5_BC,1651.63,11.93,1.49,NA,261.3744867,1.255227186,1.391231812,0.905008606,1.496689208,0.099336517,0.143505968,0.114326689,0.43195712,0.253487828,0.075089905,0.050509107,0.237089196,0.142288531,0.230636127,0.112111179,0.155401092,0.043594348
Plate1,C6,N_31_5_BC,1027.36,5.65,0.32,NA,433.8004506,1.320750506,0.676601585,0.48852357,0.999957766,0.15952185,0.172978766,0.130970055,0.847005182,0.48589182,0.160815519,0.066914153,0.580808453,0.150725154,0.349224204,0.104342223,0.203423574,0.08653541
Plate1,C7,N_5_1_BC,1123.92,5.95,1,NA,172.9750101,1.201739874,0.993907317,0.657810754,1.191449046,0.064386475,0.080536388,0.06701649,0.23096985,0.216944461,0.078410482,0.034769911,0.187280774,0.080750947,0.096041744,0.056828099,0.133722914,0.039233021
Plate1,C8,N_14_1_BC,692.18,4.55,0.3,NA,410.8408595,0.961102462,0.559908492,0.528533568,2.329978589,0.253987179,0.26876088,0.279638114,0.751570738,0.442308081,0.124076539,0.061680531,0.442905583,0.294276955,0.371702456,0.135508842,0.242487585,0.058451061
Plate1,C9,N_21_1_BC,992.68,8.12,0.44,NA,159.7022576,1.030460528,1.004103644,1.065918818,1.485053083,0.05378726,0.063438317,0.061563074,0.222755556,0.212433012,0.047481353,0.035442655,0.175313886,0.065947152,0.095277444,0.098367724,0.138921398,0.028834175
Plate1,C10,N_30_1_BC,907.79,9.06,0.28,NA,310.519664,1.275904679,1.056515459,0.33166784,1.133508387,0.064982751,0.084877683,0.06652353,0.652643747,0.436465621,0.182474236,0.03558391,0.475099898,0.075082874,0.267175952,0.055688255,0.138169914,0.039480932
Plate1,C11,N_5_4_BC,1144.73,6.36,0.59,NA,246.1149864,1.268770905,1.208963744,1.055128098,1.330626456,0.111756959,0.142699681,0.112470802,0.310211379,0.196879485,0.06589227,0.051614098,0.168900804,0.142052746,0.172650179,0.096170063,0.192936217,0.057115795
Plate1,C12,N_14_4_BC,855.84,3.91,0.41,NA,291.3372798,1.150836763,1.084928907,0.637877133,1.098983029,0.095356934,0.11616462,0.100939268,0.57694452,0.419893503,0.126411933,0.060087065,0.373799879,0.10739619,0.267957604,0.114165319,0.192100682,0.067769406
Plate1,D1,N_21_5_BC,1185.47,5.89,0.26,NA,199.9656804,1.269590682,0.838989341,0.872873084,1.21818959,0.078766852,0.088404469,0.069632261,0.29358858,0.174721796,0.074040415,0.036195574,0.191378601,0.08337967,0.12602129,0.067881879,0.129658357,0.042658874
Plate1,D2,N_30_5_BC,1217.04,4.56,0.37,NA,155.5627863,1.183190849,0.908468712,1.680656514,1.552626242,0.079118482,0.090131445,0.07617659,0.144579734,0.082226627,0.035316592,0.037034015,0.073556348,0.091711569,0.085444415,0.078918656,0.145118578,0.035923049
Plate1,D3,N_6_1_BC,938.1,4.61,1.03,NA,143.6587887,1.101363343,0.994062164,1.436033198,1.685654376,0.068572533,0.084356003,0.076592346,0.132959232,0.16310578,0.022122756,0.034310696,0.121790996,0.092579875,0.045348582,0.095994859,0.143199892,0.026126495
Plate1,D4,N_13_1_BC,975.34,5.49,0.29,NA,213.0762513,1.161460454,1.061982063,0.405510137,1.262951726,0.057799001,0.070540728,0.060734507,0.494835287,0.513137944,0.14712265,0.03299048,0.425527738,0.072703143,0.168177411,0.063998115,0.124564361,0.032619631
Plate1,D5,N_22_1_BC,1888.17,14.68,2.04,NA,104.0873983,1.119872219,0.845850247,1.190535814,1.592867682,0.053496174,0.064510671,0.057605385,0.107157662,0.117505319,0.034667083,0.021060126,0.08805093,0.071767866,0.041571272,0.048858285,0.104101155,0.019203809
Plate1,D6,N_29_1_BC,1709.31,17.11,2.12,NA,107.2613007,1.145979453,0.927249827,0.765883207,1.534713046,0.042646419,0.048920478,0.042688791,0.119856468,0.147860277,0.043458779,0.01908804,0.122705282,0.053042104,0.02930905,0.04088411,0.088517526,0.018873526
Plate1,D7,N_6_4_BC,730.31,3.01,0.62,NA,398.7984414,1.026164679,1.394286485,1.958723885,1.773031138,0.202390025,0.289604887,0.282220674,0.449305604,0.293537958,0.087239715,0.090309268,0.273569666,0.335352566,0.196905261,0.234998192,0.353626332,0.065014111
Plate1,D8,N_13_4_BC,357.34,3.43,0.35,NA,216.5629143,1.126468091,1.005110874,0.515944673,1.694994662,0.064602058,0.077366705,0.068680778,0.585786948,0.169881914,0.068182815,0.027716425,0.096131983,0.07099951,0.490199376,0.069285692,0.101567501,0.026710118
Plate1,D9,N_22_5_BC,2154.62,13.6,1.81,NA,188.9733646,0.996885606,0.808691718,1.074380904,1.692849868,0.071087205,0.074777775,0.07501139,0.221533236,0.165655597,0.074419433,0.033433875,0.158488184,0.079851409,0.090427815,0.07648502,0.133128668,0.032716985
Plate1,D10,N_29_5_BC,1662.32,10.22,1.09,NA,248.8899516,1.204133748,0.884732462,0.727606816,1.844177393,0.112990443,0.133160233,0.110585916,0.337778811,0.448481352,0.121491702,0.039362806,0.34211133,0.14058795,0.068535858,0.087119714,0.185553099,0.035666071
Plate1,D11,N_7_1_BC,1651.01,14.21,2.21,NA,133.7323098,1.211735341,0.996522742,0.793446015,1.445156808,0.054290293,0.066742858,0.055080392,0.192494445,0.179745471,0.051337188,0.024692228,0.142242098,0.068611944,0.090421056,0.05715535,0.118955368,0.024467763
Plate1,D12,N_12_1_BC,1113.9,6.22,2.23,NA,302.645032,1.168457126,1.386661996,0.910625308,1.893490256,0.107001979,0.160260728,0.137155848,0.583594508,0.305252236,0.064378187,0.069418102,0.285191917,0.154178797,0.330133838,0.186983304,0.196663132,0.043731638
Plate1,E1,N_23_1_BC,1015.05,4.56,0.03,NA,97.01928859,1.134528681,1.049850881,1.031134251,1.565580504,0.040684711,0.04849528,0.042744869,0.104035608,0.155199125,0.043231835,0.021256224,0.111795862,0.053526532,0.020940754,0.052518429,0.083693452,0.017670199
Plate1,E2,N_28_1_BC,1362.16,15.02,1.39,NA,136.4846337,1.104325152,1.323495306,1.335482149,1.931169789,0.06783956,0.096128043,0.087046865,0.141078767,0.113327698,0.034799073,0.025752755,0.093514208,0.112875101,0.069396469,0.057751064,0.126052497,0.018736072
Plate1,E3,N_7_4_BC,1978.88,12.77,1.44,NA,197.9074394,1.040976065,0.893189302,1.49292675,1.668607065,0.099611042,0.116808353,0.112210412,0.239720474,0.178694791,0.059762203,0.041282884,0.173608839,0.12826015,0.10530335,0.117541897,0.216164687,0.035094792
Plate1,E4,N_12_4_BC,768.48,4.86,0.36,NA,107.4359428,1.117034735,0.895255354,1.306047754,1.532188124,0.048276657,0.055718557,0.049880774,0.119813136,0.095309798,0.025110108,0.022653065,0.081042053,0.058269752,0.055099631,0.053911084,0.087083307,0.021410994
Plate1,E5,N_23_5_BC,689.91,1.87,0.12,NA,354.3250086,0.860665881,0.885729235,0.462651772,1.811622294,0.111522141,0.131390205,0.152661106,0.763137246,0.396105308,0.144464531,0.039877768,0.481526649,0.144883117,0.339007807,0.094112249,0.170112965,0.040499327
Plate1,E6,N_28_5_BC,1767.81,8.1,0.76,NA,195.5782891,1.210226658,0.701362701,0.876969225,1.676495015,0.095203618,0.104830704,0.086620719,0.288638168,0.169309282,0.060181973,0.034766697,0.191583196,0.10195144,0.128300202,0.079893276,0.14018603,0.033166963
Plate1,E7,N_8_1_BC,1254.78,11.76,1.75,NA,169.5364252,1.175579737,1.157504146,0.744648206,1.184979021,0.066524188,0.085279617,0.072542606,0.214233996,0.198588415,0.086273368,0.03138406,0.190634564,0.092719974,0.076597213,0.055627876,0.143321971,0.035733165
Plate1,E8,N_11_1_BC,544.76,2.3,0.15,NA,322.7457134,1.032382647,1.029295413,0.670571236,1.68556979,0.101824711,0.135852863,0.131591579,0.704887098,0.357553247,0.110684601,0.054920079,0.385307821,0.133015986,0.36040233,0.140980578,0.181027608,0.047889464
Plate1,E9,N_24_1_BC,891.04,2.06,0,NA,94.51256866,1.268494061,0.863484518,0.726572344,1.579063831,0.040451406,0.051190137,0.040355047,0.105152365,0.172426868,0.02305782,0.016629336,0.123385347,0.054758612,0.024154687,0.040029195,0.094954994,0.015077224
Plate1,E10,N_27_1_BC,1610.81,17.51,2.06,NA,127.8191882,1.243649216,0.91692416,0.845807196,1.191149311,0.052253376,0.060743949,0.048843314,0.149706755,0.090536116,0.037923725,0.022043914,0.107860616,0.059387096,0.063953626,0.039312157,0.090021723,0.026313063
Plate1,E11,N_8_4_BC,1731.51,9.55,1.44,NA,145.7074217,1.105689938,0.716998033,1.101992021,1.643197992,0.084113982,0.093401479,0.084473482,0.145432668,0.198791906,0.063093682,0.033037105,0.1576167,0.100562685,0.027127137,0.07164616,0.146413943,0.033348667
Plate1,E12,N_11_4_BC,958.55,4.5,0.14,NA,375.8600528,1.175306279,0.873496049,0.730542978,1.93096983,0.087370525,0.132369684,0.112625693,0.950145329,0.385458696,0.132795612,0.079024787,0.340015344,0.117885047,0.674311767,0.264717559,0.236250287,0.050375793
Plate1,F1,N_24_5_BC,851.56,1.62,0.1,NA,271.1240911,1.010833973,1.262839094,1.144737237,2.195646822,0.098955922,0.133370463,0.131941018,0.381389031,0.221442075,0.089403663,0.046161041,0.236047593,0.144123667,0.169812322,0.14042342,0.173716581,0.033096298
Plate1,F2,N_27_5_BC,1638.32,10.96,1.27,NA,211.7921864,1.135767259,0.984477062,0.6301023,1.385930683,0.077443988,0.089518964,0.078818053,0.387022808,0.258520829,0.06395076,0.031327078,0.245805567,0.090827582,0.183471756,0.064484989,0.130475348,0.033936384
Plate1,F3,N_9_1_BC,921.64,7,0.3,NA,166.7221596,0.998884556,0.992686508,0.989925093,1.794107333,0.057729696,0.069748605,0.069826493,0.213631418,0.258563184,0.083779911,0.034836931,0.206240363,0.078311303,0.052807439,0.088887176,0.134434228,0.025402358
Plate1,F4,N_10_1_BC,1199.81,10.65,1.52,NA,233.4403175,1.372311105,0.778602082,0.406137036,1.284302433,0.072431302,0.082740213,0.060292606,0.487058323,0.3271539,0.111230144,0.030710796,0.367660359,0.074361082,0.187324905,0.055597829,0.127295173,0.033240203
Plate1,F5,N_25_1_BC,1064.16,3.83,0.23,NA,304.5673797,1.380644732,1.538162359,0.672786565,2.062100832,0.117420551,0.193004844,0.139793272,0.5169195,0.349637869,0.105745416,0.03842201,0.35537863,0.206813391,0.214090285,0.071326281,0.195206936,0.026305265
Plate1,F6,N_26_1_BC,1213.69,15.18,1.5,NA,246.6419825,0.985796914,1.424140718,1.527534593,2.026629291,0.123951279,0.182250975,0.184876796,0.190511514,0.251910269,0.061466867,0.064516088,0.225998763,0.224827917,0.012233764,0.165626412,0.234458247,0.03490402
Plate1,F7,N_9_4_BC,1489.95,12.53,0.85,NA,398.4512448,1.003879402,0.905928286,0.672113903,0.763475489,0.122857117,0.133132053,0.132617576,0.586321945,0.317373558,0.129790247,0.095763687,0.270350671,0.131427146,0.372821962,0.105137634,0.212406681,0.133691678
Plate1,F8,N_10_4_BC,1363.05,10.2,0.64,NA,187.5959605,1.080291051,0.917285608,1.140957177,1.697490973,0.080199607,0.095346548,0.088260055,0.236377859,0.176834643,0.043531585,0.045422897,0.14739595,0.098399617,0.123120554,0.113593155,0.171955294,0.037571319
Plate1,F9,N_25_5_BC,1349.56,9,0.96,NA,238.2077497,1.174213354,1.07758468,0.823168237,1.79095246,0.083500528,0.10448186,0.088980303,0.432399372,0.231529522,0.066856489,0.035978422,0.247217703,0.104964577,0.204578263,0.085732,0.163008315,0.030944248
Plate1,F10,N_26_5_BC,634.49,0.29,0.09,NA,192.7921064,1.324006647,1.497642048,0.849614158,1.672009795,0.075055859,0.108829687,0.082197236,0.259792056,0.216901202,0.050370882,0.029272114,0.208684644,0.112302851,0.083610667,0.053974019,0.126649355,0.027560727
Plate1,F11,Stained Blank,5.28,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plate1,F12,Stained Blank,3.14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plate1,G1,Blank,1.37,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plate1,G2,Blank,0.8,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plate2,A1,N2_Ocean_1_AI,355.07,0.76,0.43,NA,130.3467783,1.209575541,0.776474704,0.570970545,1.819555845,0.066648998,0.074400737,0.06150979,0.219436286,0.112847462,0.044223883,0.023560045,0.153860943,0.071447007,0.094712511,0.044504766,0.091165272,0.021949102
Plate2,A2,N_1_1_AI,747,1.56,0.61,NA,61.99327584,1.279422685,0.928695883,1.053214232,1.563376939,0.029501389,0.037171315,0.029053194,0.05311895,0.064487292,0.006487974,0.014539041,0.056486567,0.038234826,0.018337718,0.032658469,0.072536479,0.012529766
Plate2,A3,N_2_1_AI,729.72,1.09,0.49,NA,85.85311975,1.140732734,1.076026333,0.49779571,1.400674701,0.025857836,0.032449157,0.028445889,0.139048743,0.102099589,0.037118071,0.014309726,0.102809579,0.034112314,0.070375219,0.029305006,0.058871252,0.013594987
Plate2,A4,N_3_1_AI,750.27,1.33,0.72,NA,88.5765169,0.890302159,0.784849134,1.679263488,1.73005538,0.046045994,0.04950052,0.055599685,0.079045781,0.046443734,0.019464672,0.017116377,0.05151232,0.058417358,0.038148665,0.056798479,0.082052019,0.016522979
Plate2,A5,N_4_1_AI,675.64,1.75,0.65,NA,73.68366673,1.221604488,1.034121395,1.227957023,1.584259551,0.033889815,0.040746118,0.033354591,0.074538301,0.046862885,0.01439057,0.015610197,0.046166503,0.041088336,0.04197377,0.035187072,0.074370592,0.014687319
Plate2,A6,N_5_1_AI,808.86,4.81,1.16,NA,124.5659627,1.142706375,0.94421024,0.744938759,1.461269198,0.050165707,0.056883497,0.049779627,0.194964538,0.106942304,0.044490149,0.022536909,0.125410488,0.05590936,0.095724977,0.044082732,0.100037388,0.024255931
Plate2,A7,N_6_1_AI,505.94,0.4,0.37,NA,82.13010733,1.207445707,0.967361978,0.730061099,1.576145305,0.03744647,0.046062552,0.038148756,0.092969267,0.111522458,0.046174981,0.018114233,0.100181441,0.048432668,0.029268231,0.041473807,0.087643405,0.016334643
Plate2,A8,N_7_1_AI,808.9,1.29,0.85,NA,96.7132615,1.016059025,0.989759917,1.0349948,1.767149007,0.043861636,0.053934749,0.053082299,0.109309239,0.08459249,0.032540321,0.02036335,0.076270432,0.062369268,0.056335196,0.050712333,0.092097412,0.01752721
Plate2,A9,N_8_1_AI,615.15,1.57,1.79,NA,162.101193,1.252454719,0.706741972,0.514983265,1.53536483,0.078227411,0.085212553,0.068036434,0.340763619,0.210199605,0.067523078,0.026151229,0.196056715,0.084578788,0.198938803,0.059203721,0.105523425,0.025073188
Plate2,A10,N_9_1_AI,343.68,0.53,1.39,NA,81.11575194,1.27516862,0.939873046,0.96160423,1.423281985,0.036941449,0.044524524,0.034916578,0.101974082,0.079473722,0.015363351,0.016993946,0.069911842,0.045041762,0.049670239,0.03348746,0.077702072,0.016828111
Plate2,A11,N_10_1_AI,470.96,0.96,4.62,NA,112.3613653,1.207735372,1.092889744,0.8621896,1.40238397,0.040347142,0.049565312,0.041039878,0.148348835,0.089822509,0.042403502,0.021352734,0.101650959,0.049096039,0.068575045,0.039811267,0.090058654,0.020869775
Plate2,A12,N_11_1_AI,510.13,0.59,0.69,NA,205.1090721,0.576807404,0.718159111,1.798275608,1.87298497,0.087849879,0.074785574,0.129654324,0.240561958,0.165276367,0.053962631,0.056417617,0.176726072,0.092853958,0.082345624,0.196520433,0.172972893,0.040278416
Plate2,B1,N_12_1_AI,393.94,0.32,0.53,NA,283.4226414,0.756527062,1.263569196,1.055178101,1.704643232,0.064728597,0.074808556,0.098884177,0.414488609,0.322726504,0.105475337,0.106825844,0.34759296,0.06774385,0.142360604,0.276996116,0.195526337,0.054468042
Plate2,B2,N_13_1_AI,286.1,0.24,0.55,NA,228.642073,0.895795716,1.06919861,0.900575548,1.596953291,0.056127722,0.06398377,0.071426742,0.37021386,0.243173305,0.081539631,0.057269408,0.268618907,0.059601031,0.155788601,0.152892591,0.144646816,0.036498262
Plate2,B3,N_14_1_AI,391.96,0.89,0.56,NA,95.01763298,1.286492549,1.062081275,0.591766935,1.656393227,0.038515808,0.049737788,0.038661544,0.145899831,0.14389363,0.047530832,0.019976998,0.121158572,0.049565118,0.074006821,0.046486322,0.089559405,0.016005552
Plate2,B4,N_15_1_AI,670.5,1.44,4.81,NA,200.377036,1.12431823,0.801755249,0.659193224,1.487263877,0.07270765,0.082202278,0.073112999,0.364076709,0.285178785,0.091408386,0.029454144,0.269764948,0.083254012,0.138427394,0.071358006,0.122934982,0.028682166
Plate2,B5,N_16_1_AI,599.99,0.63,0.32,NA,118.6857017,1.084545138,1.124545307,0.664782406,1.636864537,0.039483605,0.050724051,0.046769885,0.194260466,0.129431315,0.045397357,0.016804485,0.138435307,0.05553689,0.083590954,0.036813353,0.082149453,0.015198805
Plate2,B6,N1_Ocean_1_AI,500.88,1.01,0.64,NA,59.32382963,1.183496529,0.931274536,0.781664662,1.656188023,0.027388905,0.032677124,0.027610663,0.060301205,0.064360242,0.042207351,0.013402136,0.062498624,0.034305362,0.025195798,0.032382494,0.06907233,0.011795594
Plate2,B7,N_17_1_AI,660,0.68,0.31,NA,377.6948577,1.364540757,2.014332881,1.035970655,1.825607086,0.168420444,0.290396029,0.212815944,0.627526675,0.321355815,0.087001776,0.053208322,0.30338127,0.311143824,0.369482463,0.118552948,0.273850276,0.039588509
Plate2,B8,N_18_1_AI,578.29,0.89,0.31,NA,146.0267393,1.142734485,0.903240643,0.75557704,1.474501596,0.045811968,0.053742986,0.047030161,0.279843367,0.17898994,0.061550893,0.023121107,0.181185182,0.051210565,0.127323396,0.058656243,0.098711177,0.020194878
Plate2,B9,N_19_1_AI,387.9,0.4,0.05,NA,161.2836775,1.29015235,0.947838764,0.658163027,1.613591247,0.059947043,0.076672618,0.05942912,0.316208523,0.199184706,0.068282257,0.029283174,0.211918038,0.070899698,0.1476184,0.070318223,0.132015727,0.024251283
